date,ActionShock_GreenbookPurged,CommunicationShock_GreenbookPurged,ActionShock_Unpurged,CommunicationShock_Unpurged,ED4Shock_GreenbookPurged,ED4Shock_Unpurged,ED8Shock_GreenbookPurged,ED8Shock_Unpurged,ED12Shock_GreenbookPurged,ED12Shock_Unpurged
1994m1,0,0,0,0,0,0,0,0,0,0
1994m2,0,0,0,0,0,0,0,0,0,0
1994m3,-0.33559689,0.14811119,-0.78890646,-0.11559165,-0.83768028,-1.3169303,-0.064078763,-0.53649694,-0.075190246,-0.15921704
1994m4,0,0,0,0,0,0,0,0,0,0
1994m5,2.0263793,-2.4349642,1.5603977,-3.0900049,-2.7371483,-2.8733022,0.39089018,0.92101014,-0.29677734,-0.1512935
1994m6,0,0,0,0,0,0,0,0,0,0
1994m7,-0.53415525,0.24615529,-0.99668264,1.1112086,-1.0119953,-0.35916278,0.34793615,0.43466848,0.23443751,0.076600507
1994m8,3.1509075,-2.5645046,2.8343163,-2.4302921,-0.86838633,-1.1972094,-0.60388416,-0.51096392,-0.38157707,-0.52713549
1994m9,-0.82378346,2.4393575,-1.6718547,3.4007902,-0.30473825,-0.11972093,0.33372125,0.74136829,-0.22148249,0.007160542
1994m10,0,0,0,0,0,0,0,0,0,0
1994m11,0.031125367,0.54570037,0,1.1079453,0.29025209,0.47888371,-0.33712944,-0.66476923,-0.13618001,0.069058463
1994m12,-1.1282215,0.1274846,-1.6572746,0.5692516,-0.19949311,0.47888371,0.077649906,0.10213207,-1.5421487,-1.078349
1995m1,0,0,0,0,0,0,0,0,0,0
1995m2,1.3600178,-0.8239941,1.0449092,-0.19880953,1.8691998,2.1549768,-1.4265916,-1.5854758,0.26489431,-0.15396401
1995m3,0.39448273,1.4824301,0,1.3923393,1.7660141,1.676093,0.72024262,0.35746223,-0.51946014,-0.82428563
1995m4,0,0,0,0,0,0,0,0,0,0
1995m5,0.90254939,0.031670224,0.16075526,-0.49788395,-0.55845046,-1.0774884,-0.57294172,-0.22979715,0.9276312,0.55799252
1995m6,0,0,0,0,0,0,0,0,0,0
1995m7,-0.19223563,-3.886827,-0.24917066,-4.6772346,-1.7062689,-2.9930232,0.62469494,1.1511109,0.34256834,0.096372306
1995m8,-0.081191219,0.8494488,0,0.42689648,0.94355232,0.35916278,0.10427105,0.3322328,-0.1808743,0.34929115
1995m9,0.6146732,0.30910996,0.71982634,0.45680511,1.0324256,0.83804649,-0.47403285,-0.84380394,0.71106499,0.65885484
1995m10,0,0,0,0,0,0,0,0,0,0
1995m11,1.2410018,-1.7920229,1.1755229,-2.5146315,0.62817609,0.23944186,0.57972264,0.051066034,0.14417101,0.44413742
